dd_mm_yyyy;daily_cases;total_cases;daily_recoveries;total_recoveries;daily_deaths;total_deaths;daily_tests;daily_first_dose_vaccinations;daily_second_dose_vaccinations;total_second_dose_vaccinations;total_boosters;total_vaccinations;vaccine_type;daily_deaths_over_total_second_dose_vaccinations_per_million;daily_cases_over_total_second_dose_vaccinations_per_million
13.01.2021;9554;2355839;9463;2227927;173;23325;173603;0;0;0;0;0;Sinovac;N/A;N/A
14.01.2021;8962;2364801;9011;2236938;170;23495;169847;279452;0;0;0;279452;Sinovac;N/A;N/A
15.01.2021;8314;2373115;9109;2246047;169;23664;167211;337200;0;0;0;616652;Sinovac;N/A;N/A
16.01.2021;7550;2380665;8005;2254052;168;23832;156792;60251;0;0;0;676903;Sinovac;N/A;N/A
17.01.2021;6436;2387101;8812;2262864;165;23997;148636;29548;0;0;0;706451;Sinovac;N/A;N/A
18.01.2021;5862;2392963;7905;2270769;164;24161;151342;125961;0;0;0;832412;Sinovac;N/A;N/A
19.01.2021;6818;2399781;7218;2277987;167;24328;175133;118223;0;0;0;950635;Sinovac;N/A;N/A
20.01.2021;6435;2406216;5932;2283919;159;24487;168894;101858;0;0;0;1052493;Sinovac;N/A;N/A
21.01.2021;6289;2412505;6113;2290032;153;24640;165109;67765;0;0;0;1120258;Sinovac;N/A;N/A
22.01.2021;5967;2418472;6018;2296050;149;24789;163342;81954;0;0;0;1202212;Sinovac;N/A;N/A
23.01.2021;5856;2424328;5811;2301861;144;24933;152758;24671;0;0;0;1226883;Sinovac;N/A;N/A
24.01.2021;5277;2429605;5860;2307721;140;25073;148425;17770;0;0;0;1244653;Sinovac;N/A;N/A
25.01.2021;5642;2435247;6682;2314403;137;25210;151109;58100;0;0;0;1302753;Sinovac;N/A;N/A
26.01.2021;7103;2442350;8108;2322511;134;25344;180303;107520;0;0;0;1410273;Sinovac;N/A;N/A
27.01.2021;7489;2449839;8803;2331314;132;25476;179419;112307;0;0;0;1522580;Sinovac;N/A;N/A
28.01.2021;7279;2457118;8902;2340216;129;25605;173210;174995;0;0;0;1697575;Sinovac;N/A;N/A
29.01.2021;6912;2464030;8093;2348309;131;25736;165094;230776;0;0;0;1928351;Sinovac;N/A;N/A
30.01.2021;6871;2470901;7100;2355409;129;25865;148785;32509;0;0;0;1960860;Sinovac;N/A;N/A
31.01.2021;6562;2477463;7006;2362415;128;25993;136418;25377;0;0;0;1986237;Sinovac;N/A;N/A
1.02.2021;7719;2485182;8016;2370431;124;26117;141703;150062;0;0;0;2136299;Sinovac;N/A;N/A
2.02.2021;7795;2492977;8639;2379070;120;26237;140120;92934;0;0;0;2229233;Sinovac;N/A;N/A
3.02.2021;8102;2501079;8314;2387384;117;26354;148192;114047;0;0;0;2343280;Sinovac;N/A;N/A
4.02.2021;7909;2508988;8815;2396199;113;26467;145067;157526;0;0;0;2500806;Sinovac;N/A;N/A
5.02.2021;7901;2516889;8217;2404416;110;26577;142538;58996;0;0;0;2559802;Sinovac;N/A;N/A
6.02.2021;7897;2524786;8089;2412505;108;26685;137649;41915;0;0;0;2601717;Sinovac;N/A;N/A
7.02.2021;6670;2531456;28201;2440706;112;26797;129715;8779;0;0;0;2610496;Sinovac;N/A;N/A
8.02.2021;8103;2539559;8567;2449273;103;26900;139378;53707;0;0;0;2664203;Sinovac;N/A;N/A
9.02.2021;8636;2548195;-11891;2437382;98;26998;137712;68506;0;0;0;2732709;Sinovac;N/A;N/A
10.02.2021;8642;2556837;119455;2556837;95;27093;135867;62407;0;0;0;2795116;Sinovac;N/A;N/A
11.02.2021;7590;2564427;-103741;2453096;94;27187;130313;51009;0;0;0;2846125;Sinovac;N/A;N/A
12.02.2021;7763;2572190;8108;2461204;97;27284;129630;3067822;336532;336532;0;3404354;Sinovac;288;23068
13.02.2021;7706;2579896;7215;2468419;93;27377;123305;3253005;120359;456891;0;3709896;Sinovac;204;16866
14.02.2021;6287;2586183;6910;2475329;94;27471;104108;3336164;32046;488937;0;3825101;Sinovac;192;12859
15.02.2021;7945;2594128;7106;2482435;91;27562;116452;3608148;84942;573879;0;4182027;Sinovac;159;13844
16.02.2021;7906;2602034;7189;2489624;90;27652;115794;3984622;72283;646162;0;4630784;Sinovac;139;12235
17.02.2021;7325;2609359;7209;2496833;86;27738;117121;4477432;100008;746170;0;5223602;Sinovac;115;9817
18.02.2021;7241;2616600;7217;2504050;83;27821;115406;5028179;120946;867116;0;5895295;Sinovac;96;8351
19.02.2021;7419;2624019;7498;2511548;82;27903;116674;5384983;109600;976716;0;6361699;Sinovac;84;7596
20.02.2021;7857;2631876;7210;2518758;80;27983;118911;5503094;53700;1030416;0;6533510;Sinovac;78;7625
21.02.2021;6546;2638422;5002;2523760;77;28060;101105;5517993;23421;1053837;0;6571830;Sinovac;73;6212
22.02.2021;8104;2646526;5690;2529450;78;28138;118816;5738471;44994;1098831;0;6837302;Sinovac;71;7375
23.02.2021;9107;2655633;5546;2534996;75;28213;123734;6106522;84145;1182976;0;7289498;Sinovac;63;7698
24.02.2021;9561;2665194;5297;2540293;72;28285;124015;6352410;84309;1267285;0;7619695;Sinovac;57;7544
25.02.2021;9572;2674766;6210;2546503;73;28358;126527;6582239;130202;1397487;0;7979726;Sinovac;52;6849
26.02.2021;9205;2683971;10282;2556785;74;28432;128387;6745147;156171;1553658;0;8298805;Sinovac;48;5925
27.02.2021;9193;2693164;8938;2565723;71;28503;125716;6854642;106475;1660133;0;8514775;Sinovac;43;5538
28.02.2021;8424;2701588;6511;2572234;66;28569;109639;6869923;17819;1677952;0;8547875;Sinovac;39;5020
1.03.2021;9891;2711479;5947;2578181;69;28638;130536;6975558;121208;1799160;0;8774718;Sinovac;38;5498
2.03.2021;11837;2723316;7892;2586073;68;28706;135291;7123722;150758;1949918;0;9073640;Sinovac;35;6071
3.03.2021;11520;2734836;7191;2593264;65;28771;138018;7240515;127113;2077031;0;9317546;Sinovac;31;5546
4.03.2021;11322;2746158;7873;2601137;68;28839;137885;7353536;129471;2206502;0;9560038;Sinovac;31;5131
5.03.2021;11302;2757460;7711;2608848;62;28901;138214;7446337;103450;2309952;0;9756289;Sinovac;27;4893
6.03.2021;11770;2769230;7291;2616139;64;28965;138592;7509923;63732;2373684;0;9883607;Sinovac;27;4959
7.03.2021;11187;2780417;7785;2623924;65;29030;129299;7524943;18721;2392405;0;9917348;Sinovac;27;4676
8.03.2021;13215;2793632;8106;2632030;64;29094;139429;7565023;44552;2436957;0;10001980;Sinovac;26;5423
9.03.2021;13755;2807387;8639;2640669;66;29160;140828;7676519;109518;2546475;0;10222994;Sinovac;26;5402
10.03.2021;14556;2821943;9193;2649862;67;29227;145130;7745480;68328;2614803;0;10360283;Sinovac;26;5567
11.03.2021;14046;2835989;9231;2659093;63;29290;146386;7807838;79853;2694656;0;10502494;Sinovac;23;5213
12.03.2021;14941;2850930;11180;2670273;66;29356;148856;7858565;189056;2883712;0;10742277;Sinovac;23;5181
13.03.2021;15082;2866012;15287;2685560;65;29421;150098;7887544;152028;3035740;0;10923284;Sinovac;21;4968
14.03.2021;13378;2879390;15516;2701076;68;29489;132425;7892795;63560;3099300;0;10992095;Sinovac;22;4316
15.03.2021;15503;2894893;15893;2716969;63;29552;151113;7911946;250366;3349666;0;11261612;Sinovac;19;4628
16.03.2021;16749;2911642;17893;2734862;71;29623;158386;7948320;398310;3747976;0;11696296;Sinovac;19;4469
17.03.2021;18912;2930554;17161;2752023;73;29696;167526;7977222;417047;4165023;0;12142245;Sinovac;18;4541
18.03.2021;20049;2950603;18615;2770638;81;29777;184452;7991510;274949;4439972;0;12431482;Sinovac;18;4516
19.03.2021;21030;2971633;18119;2788757;87;29864;187859;8007734;396871;4836843;0;12844577;Sinovac;18;4348
20.03.2021;21061;2992694;18815;2807572;95;29959;190129;8016078;176833;5013676;0;13029754;Sinovac;19;4201
21.03.2021;20428;3013122;17615;2825187;102;30061;189906;8017698;26348;5040024;0;13057722;Sinovac;20;4053
22.03.2021;22216;3035338;19494;2844681;117;30178;201215;8045789;180139;5220163;0;13265952;Sinovac;22;4256
23.03.2021;26182;3061520;19201;2863882;138;30316;211848;8091685;277319;5497482;0;13589167;Sinovac;25;4763
24.03.2021;29762;3091282;17761;2881643;146;30462;221738;8133043;339342;5836824;0;13969867;Sinovac;25;5099
25.03.2021;28731;3120013;19186;2900829;157;30619;222753;8163156;227430;6064254;0;14227410;BioNTech, Sinovac;26;4738
26.03.2021;29081;3149094;20208;2921037;153;30772;220985;8195554;231439;6295693;0;14491247;BioNTech, Sinovac;24;4619
27.03.2021;30021;3179115;18892;2939929;151;30923;223214;8217124;139842;6435535;0;14652659;BioNTech, Sinovac;23;4665
28.03.2021;29058;3208173;17164;2957093;153;31076;220109;8293998;71426.5;6506962;0;14800960;BioNTech, Sinovac;24;4466
29.03.2021;32404;3240577;18015;2975108;154;31230;225511;8370872;71426.5;6578388;0;14949260;BioNTech, Sinovac;23;4926
30.03.2021;37303;3277880;19925;2995033;155;31385;235298;8614368;108706;6687094;0;15301462;BioNTech, Sinovac;23;5578
31.03.2021;39302;3317182;19193;3014226;152;31537;240012;8994454;153239;6840333;0;15834787;BioNTech, Sinovac;22;5746
1.04.2021;40806;3357988;20817;3035043;176;31713;243738;9206500;101850;6942183;0;16148683;BioNTech, Sinovac;25;5878
2.04.2021;42308;3400296;24419;3059462;179;31892;248968;9313746;61241;7003424;0;16317170;BioNTech, Sinovac;26;6041
3.04.2021;44756;3445052;23214;3082676;186;32078;249126;9478896;120599;7124023;0;16602919;BioNTech, Sinovac;26;6282
4.04.2021;41998;3487050;22674;3105350;185;32263;246210;9546643;12401;7136424;0;16683067;BioNTech, Sinovac;26;5885
5.04.2021;42551;3529601;25627;3130977;193;32456;245496;9796506;60644;7197068;0;16993574;BioNTech, Sinovac;27;5912
6.04.2021;49584;3579185;28498;3159475;211;32667;271547;10088238;82569;7279637;0;17367875;BioNTech, Sinovac;29;6811
7.04.2021;54740;3633925;35503;3194978;276;32943;302108;10359390;65861;7345498;0;17704888;BioNTech, Sinovac;38;7452
8.04.2021;55941;3689866;37914;3232892;258;33201;304492;10627037;117248;7462746;0;18089783;BioNTech, Sinovac;35;7496
9.04.2021;55791;3745657;35786;3268678;253;33454;305103;10777451;80187;7542933;0;18320384;BioNTech, Sinovac;34;7396
10.04.2021;52676;3798333;32539;3301217;248;33702;302735;10865731;36690;7579623;0;18445354;BioNTech, Sinovac;33;6950
11.04.2021;50678;3849011;30194;3331411;237;33939;294274;10907432;7741;7587364;0;18494796;BioNTech, Sinovac;31;6679
12.04.2021;54562;3903573;41218;3372629;243;34182;301068;11108847;32767;7620131;0;18728978;BioNTech, Sinovac;32;7160
13.04.2021;59187;3962760;52104;3424733;273;34455;306563;11388406;54221;7674352;0;19062758;BioNTech, Sinovac;36;7712
14.04.2021;62797;4025557;55413;3480146;279;34734;310420;11556291;42032;7716384;0;19272675;BioNTech, Sinovac;36;8138
15.04.2021;61400;4086957;54894;3535040;297;35031;318217;11708135;20750;7737134;0;19445269;BioNTech, Sinovac;38;7936
16.04.2021;63082;4150039;56510;3591550;289;35320;320078;12038403;36237;7773371;0;19811774;BioNTech, Sinovac;37;8115
17.04.2021;62606;4212645;52184;3643734;288;35608;319316;12151728;12260;7785631;0;19937359;BioNTech, Sinovac;37;8041
18.04.2021;55802;4268447;43856;3687590;318;35926;301243;12182430;2154;7787785;0;19970215;BioNTech, Sinovac;41;7165
19.04.2021;55149;4323596;48947;3736537;341;36267;318869;12260361;27358;7815143;0;20075504;BioNTech, Sinovac;44;7057
20.04.2021;61028;4384624;55592;3792129;346;36613;322128;12426580;41504;7856647;0;20283227;BioNTech, Sinovac;44;7768
21.04.2021;61967;4446591;52213;3844342;362;36975;318839;12590582;30456;7887103;0;20477685;BioNTech, Sinovac;46;7857
22.04.2021;54791;4501382;65593;3909935;354;37329;312109;12796678;45194;7932297;0;20728975;BioNTech, Sinovac;45;6907
23.04.2021;49438;4550820;60176;3970111;343;37672;302091;12940482;14648;7946945;0;20887427;BioNTech, Sinovac;43;6221
24.04.2021;40596;4591416;52297;4022408;339;38011;281183;13114373;7085;7954030;0;21068403;BioNTech, Sinovac;43;5104
25.04.2021;38553;4629969;51236;4073644;347;38358;260280;13171984;4949;7958979;0;21130963;BioNTech, Sinovac;44;4844
26.04.2021;37312;4667281;48027;4121671;353;38711;268893;13287707;148099;8107078;0;21394785;BioNTech, Sinovac;44;4602
27.04.2021;43301;4710582;45592;4167263;346;39057;282192;13383037;188346;8295424;0;21678461;BioNTech, Sinovac;42;5220
28.04.2021;40444;4751026;45198;4212461;341;39398;283261;13512810;324569;8619993;0;22132803;BioNTech, Sinovac;40;4692
29.04.2021;37674;4788700;43253;4255714;339;39737;278108;13646398;301781;8921774;0;22568172;BioNTech, Sinovac;38;4223
30.04.2021;31891;4820591;68183;4323897;394;40131;265287;13712254;182863;9104637;0;22816891;BioNTech, Sinovac;43;3503
1.05.2021;28817;4849408;81302;4405199;373;40504;242194;13752107;42302;9146939;0;22899046;BioNTech, Sinovac;41;3150
2.05.2021;25980;4875388;75182;4480381;340;40844;240145;13800405;59390;9206329;0;23006734;BioNTech, Sinovac;37;2822
3.05.2021;24733;4900121;35438;4515819;347;41191;243648;13933868;154280;9360609;0;23294477;BioNTech, Sinovac;37;2642
4.05.2021;28997;4929118;38218;4554037;336;41527;241747;14132161;236343;9596952;0;23729113;BioNTech, Sinovac;35;3021
5.05.2021;26476;4955594;35464;4589501;356;41883;229491;14264014;242917;9839869;0;24103883;BioNTech, Sinovac;36;2691
6.05.2021;22388;4977982;37298;4626799;304;42187;253382;14391595;236255;10076124;0;24467719;BioNTech, Sinovac;30;2222
7.05.2021;20107;4998089;35529;4662328;278;42465;251194;14476881;138039;10214163;0;24691044;BioNTech, Sinovac;27;1969
8.05.2021;18052;5016141;28896;4691224;281;42746;228873;14545524;93666;10307829;0;24853353;BioNTech, Sinovac;27;1751
9.05.2021;15191;5031332;25694;4716918;283;43029;197468;14585980;24964;10332793;0;24918773;BioNTech, Sinovac;27;1470
10.05.2021;13604;5044936;26953;4743871;282;43311;213863;14618167;67118;10399911;0;25018078;BioNTech, Sinovac;27;1308
11.05.2021;14497;5059433;22253;4766124;278;43589;226452;14660551;118212;10518123;0;25178674;BioNTech, Sinovac;26;1378
12.05.2021;13029;5072462;35167;4801291;232;43821;228192;14711273;119479;10637602;0;25348875;BioNTech, Sinovac;22;1225
13.05.2021;11534;5083996;55472;4856763;238;44059;201295;14732527;32148;10669750;0;25402277;BioNTech, Sinovac;22;1081
14.05.2021;11394;5095390;37261;4894024;242;44301;203073;14814316;77932;10747682;0;25561998;BioNTech, Sinovac;23;1060
15.05.2021;11472;5106862;38814;4932838;236;44537;204637;14895052;44693;10792375;0;25687427;BioNTech, Sinovac;22;1063
16.05.2021;10512;5117374;14418;4947256;223;44760;202243;14947740;32628;10825003;0;25772743;BioNTech, Sinovac;21;971
17.05.2021;10174;5127548;13864;4961120;223;44983;206836;14986982;138949;10963952;0;25950934;BioNTech, Sinovac;20;928
18.05.2021;11937;5139485;10125;4971245;203;45186;217276;15202819;370392;11334344;0;26537163;BioNTech, Sinovac;18;1053
